0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0.0010027278403344332,0.0005702748099485128,0.0003943632874210861,0.024223123256874472,0.021795727599212864,0.02158463037735479,0.009287848447961346,0.011275721832702488,0.014339421964336388,0.0021488844261714577,0.0030314683710988897,0.0009341750442959624,0.0010027278403344332,0.0005702748099485128,0.0003943632874210861,0.024223123256874472,0.021795727599212864,0.02158463037735479,0.009287848447961346,0.011275721832702488,0.014339421964336388,0.0021488844261714577,0.0030314683710988897,0.0009341750442959624,95.0
-0.0035843549081120514,-0.005544529977193373,-0.005037437098419272,0.015179290399422257,0.01083250967867508,0.010347123971878449,0.0043123665369212815,0.00712352156876232,0.012694852601846992,-0.0019469407298901237,-0.00176412705574633,-0.00363168353156998,-0.0035843549081120514,-0.005544529977193373,-0.005037437098419272,0.015179290399422257,0.01083250967867508,0.010347123971878449,0.0043123665369212815,0.00712352156876232,0.012694852601846992,-0.0019469407298901237,-0.00176412705574633,-0.00363168353156998,94.99999999999976
-0.007911584265560462,-0.011079239771285762,-0.010015219129255517,0.00757502990686115,0.0016118856187552902,0.000999271757372896,-9.78635751981471e-05,0.003407163728341517,0.01118786138483516,-0.005612857788805486,-0.006131020535003667,-0.007739499331432459,-0.007911584265560462,-0.011079239771285762,-0.010015219129255517,0.00757502990686115,0.0016118856187552902,0.000999271757372896,-9.78635751981471e-05,0.003407163728341517,0.01118786138483516,-0.005612857788805486,-0.006131020535003667,-0.007739499331432459,94.99999999999956
-0.011910651742029496,-0.01587417108154909,-0.014378599544575104,0.0017178818908846585,-0.00548098061667044,-0.0059951778100809875,-0.0036838385464525256,0.0003360549203396758,0.009874525942215396,-0.008612873602773291,-0.009793044777581968,-0.011079756736990862,-0.011910651742029496,-0.01587417108154909,-0.014378599544575104,0.0017178818908846585,-0.00548098061667044,-0.0059951778100809875,-0.0036838385464525256,0.0003360549203396758,0.009874525942215396,-0.008612873602773291,-0.009793044777581968,-0.011079756736990862,94.99999999999932
-0.015542273586768228,-0.019856060162171098,-0.01804120979645938,-0.002281704554357815,-0.010297679697814525,-0.010453763318811734,-0.006274385673596796,-0.0019495492788994754,0.008782215676368202,-0.010777454335124028,-0.012545087719037019,-0.013417897945433204,-0.015542273586768228,-0.019856060162171098,-0.01804120979645938,-0.002281704554357815,-0.010297679697814525,-0.010453763318811734,-0.006274385673596796,-0.0019495492788994754,0.008782215676368202,-0.010777454335124028,-0.012545087719037019,-0.013417897945433204,94.99999999999912
-0.01878443865183633,-0.02302906002460257,-0.020986202376171843,-0.004487201154986499,-0.012906288247891466,-0.012459574369537629,-0.007799877745408649,-0.003390200854734603,0.007908537397367393,-0.012017759756689455,-0.01427004925026675,-0.014618419089304103,-0.01878443865183633,-0.02302906002460257,-0.020986202376171843,-0.004487201154986499,-0.012906288247891466,-0.012459574369537629,-0.007799877745408649,-0.003390200854734603,0.007908537397367393,-0.012017759756689455,-0.01427004925026675,-0.014618419089304103,94.99999999999896
-0.02162087822227447,-0.02545728853177722,-0.023253675063669443,-0.0050955588251823496,-0.013548583358018174,-0.012315029271836834,-0.00829410271800833,-0.004009721811525434,0.007223699042935447,-0.012331032233236157,-0.014946070185485638,-0.014657764073240497,-0.02162087822227447,-0.02545728853177722,-0.023253675063669443,-0.0050955588251823496,-0.013548583358018174,-0.012315029271836834,-0.00829410271800833,-0.004009721811525434,0.007223699042935447,-0.012331032233236157,-0.014946070185485638,-0.014657764073240497,94.99999999999876
-0.02403270147840788,-0.027242800615938822,-0.02492305952712163,-0.0043884882099117185,-0.012583977468799117,-0.010475174567130978,-0.007884404468024128,-0.003908338268176693,0.006675899547470624,-0.01179670288476525,-0.01464348404650979,-0.01362442101536743,-0.02403270147840788,-0.027242800615938822,-0.02492305952712163,-0.0043884882099117185,-0.012583977468799117,-0.010475174567130978,-0.007884404468024128,-0.003908338268176693,0.006675899547470624,-0.01179670288476525,-0.01464348404650979,-0.01362442101536743,94.9999999999986
-0.02599520129824685,-0.028503089991643624,-0.026093939448179632,-0.0026845878093487933,-0.010430251926360424,-0.007472464743270923,-0.006771696595632249,-0.00324750796530854,0.00619899105108976,-0.010563865926259483,-0.013512150370065224,-0.011706221355280702,-0.02599520129824685,-0.028503089991643624,-0.026093939448179632,-0.0026845878093487933,-0.010430251926360424,-0.007472464743270923,-0.006771696595632249,-0.00324750796530854,0.00619899105108976,-0.010563865926259483,-0.013512150370065224,-0.011706221355280702,94.99999999999842
-0.027480501608073776,-0.029351744394752636,-0.02686856284996233,-0.0002999416666490497,-0.007510254658364891,-0.0038448580898633256,-0.00520319313662172,-0.0022284780539556315,0.00572140247269333,-0.008831773014002089,-0.011760934834294325,-0.00916645237618964,-0.027480501608073776,-0.029351744394752636,-0.02686856284996233,-0.0002999416666490497,-0.007510254658364891,-0.0038448580898633256,-0.00520319313662172,-0.0022284780539556315,0.00572140247269333,-0.008831773014002089,-0.011760934834294325,-0.00916645237618964,94.9999999999983
